company,hour,datetime,hourly_high_price
bynd,9,2020-05-14 09:39:00-04:00,137.97
bynd,10,2020-05-14 10:31:00-04:00,139.56
bynd,11,2020-05-14 11:15:00-04:00,141
bynd,12,2020-05-14 12:57:00-04:00,138.24
bynd,13,2020-05-14 13:00:00-04:00,137.79
bynd,14,2020-05-14 14:12:00-04:00,135.73
bynd,15,2020-05-14 15:54:00-04:00,135.85
ddog,9,2020-05-14 09:32:00-04:00,67.25
ddog,10,2020-05-14 10:09:00-04:00,66.55
ddog,11,2020-05-14 11:05:00-04:00,65
ddog,11,2020-05-14 11:06:00-04:00,65
ddog,11,2020-05-14 11:16:00-04:00,65
ddog,11,2020-05-14 11:20:00-04:00,65
ddog,12,2020-05-14 12:54:00-04:00,64.88
ddog,13,2020-05-14 13:02:00-04:00,65
ddog,14,2020-05-14 14:48:00-04:00,64.13
ddog,15,2020-05-14 15:54:00-04:00,65.87
fb,9,2020-05-14 09:37:00-04:00,203.87
fb,10,2020-05-14 10:53:00-04:00,203.35
fb,11,2020-05-14 11:37:00-04:00,204.27
fb,12,2020-05-14 12:56:00-04:00,205.1
fb,13,2020-05-14 13:32:00-04:00,205.64
fb,14,2020-05-14 14:29:00-04:00,204.99
fb,15,2020-05-14 15:59:00-04:00,206.93
nflx,9,2020-05-14 09:36:00-04:00,452
nflx,10,2020-05-14 10:08:00-04:00,446.51
nflx,11,2020-05-14 11:16:00-04:00,440.64
nflx,12,2020-05-14 12:59:00-04:00,440.34
nflx,13,2020-05-14 13:49:00-04:00,441.78
nflx,14,2020-05-14 14:30:00-04:00,441.44
nflx,15,2020-05-14 15:59:00-04:00,442.14
okta,9,2020-05-14 09:38:00-04:00,178
okta,9,2020-05-14 09:39:00-04:00,178
okta,10,2020-05-14 10:10:00-04:00,177.81
okta,11,2020-05-14 11:37:00-04:00,179.89
okta,12,2020-05-14 12:57:00-04:00,179.01
okta,13,2020-05-14 13:02:00-04:00,178.5
okta,13,2020-05-14 13:03:00-04:00,178.5
okta,14,2020-05-14 14:32:00-04:00,177.81
okta,15,2020-05-14 15:05:00-04:00,177.85
pins,9,2020-05-14 09:31:00-04:00,16.54
pins,9,2020-05-14 09:32:00-04:00,16.54
pins,10,2020-05-14 10:52:00-04:00,16.67
pins,10,2020-05-14 10:53:00-04:00,16.67
pins,10,2020-05-14 10:54:00-04:00,16.67
pins,10,2020-05-14 10:55:00-04:00,16.67
pins,11,2020-05-14 11:18:00-04:00,16.94
pins,11,2020-05-14 11:19:00-04:00,16.94
pins,12,2020-05-14 12:57:00-04:00,17.04
pins,13,2020-05-14 13:26:00-04:00,17.03
pins,14,2020-05-14 14:21:00-04:00,16.91
pins,14,2020-05-14 14:22:00-04:00,16.91
pins,15,2020-05-14 15:50:00-04:00,17.09
pins,15,2020-05-14 15:51:00-04:00,17.09
shop,9,2020-05-14 09:31:00-04:00,758.09
shop,10,2020-05-14 10:10:00-04:00,752
shop,10,2020-05-14 10:12:00-04:00,752
shop,11,2020-05-14 11:16:00-04:00,757.47
shop,12,2020-05-14 12:57:00-04:00,754.16
shop,13,2020-05-14 13:01:00-04:00,755.82
shop,14,2020-05-14 14:57:00-04:00,751.8
shop,15,2020-05-14 15:50:00-04:00,755.57
snap,9,2020-05-14 09:31:00-04:00,16.73
snap,10,2020-05-14 10:53:00-04:00,16.93
snap,10,2020-05-14 10:54:00-04:00,16.93
snap,11,2020-05-14 11:07:00-04:00,17.15
snap,12,2020-05-14 12:57:00-04:00,16.99
snap,13,2020-05-14 13:31:00-04:00,17
snap,14,2020-05-14 14:57:00-04:00,16.92
snap,14,2020-05-14 14:58:00-04:00,16.92
snap,15,2020-05-14 15:04:00-04:00,16.97
snap,15,2020-05-14 15:08:00-04:00,16.97
snap,15,2020-05-14 15:09:00-04:00,16.97
sq,9,2020-05-14 09:46:00-04:00,72.81
sq,10,2020-05-14 10:59:00-04:00,75.59
sq,11,2020-05-14 11:09:00-04:00,76.49
sq,12,2020-05-14 12:59:00-04:00,76.75
sq,13,2020-05-14 13:48:00-04:00,77.18
sq,14,2020-05-14 14:59:00-04:00,77.26
sq,15,2020-05-14 15:57:00-04:00,78.25
ttd,9,2020-05-14 09:31:00-04:00,289.45
ttd,10,2020-05-14 10:53:00-04:00,290.07
ttd,11,2020-05-14 11:18:00-04:00,296.86
ttd,12,2020-05-14 12:57:00-04:00,294.5
ttd,13,2020-05-14 13:31:00-04:00,296
ttd,14,2020-05-14 14:59:00-04:00,295.77
ttd,15,2020-05-14 15:24:00-04:00,297.67